id,title,description,ingredients,steps,region,cuisine,diet_type,estimated_oil_ml,servings,difficulty,prep_time_min,cook_time_min,thumbnail_url,created_at
10bf3ec8-1dfc-4f7a-b2a7-1e8c2abc3616,Low-Oil Mixed Veg Sabzi,Vegetable sauté curry with only 1 tsp oil.,"[{""qty"":""1.5 cups"",""name"":""Mixed vegetables""},{""qty"":""2 tsp"",""name"":""Spices""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Heat oil."",""Add vegetables and spices."",""Cook covered.""]",Pan India,Indian,veg,5,2,easy,10,12,/recipe-images/mixed-veg-sabzi.jpg,2025-12-03 08:49:36.719072
12be1206-96e3-4983-87b1-0d9d4e74d858,Vegetable Daliya,Fiber-rich broken wheat cooked with vegetables using minimal oil.,"[{""qty"":""1 cup"",""name"":""Daliya""},{""qty"":""1 cup"",""name"":""Mixed vegetables""},{""qty"":""to taste"",""name"":""Salt""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Lightly roast daliya."",""Heat 1 tsp oil, add vegetables."",""Add daliya and water and cook."",""Serve warm.""]",North India,Indian,veg,5,2,easy,10,15,/recipe-images/vegetable-dalia.jpg,2025-12-03 08:49:36.719072
21a7b99b-8e59-4530-9433-3773f50ca063,Low-Oil Grilled Chicken,Lean protein-rich dish marinated in spices and grilled.,"[{""qty"":""300g"",""name"":""Chicken breast""},{""qty"":""1 tbsp"",""name"":""Lemon juice""},{""qty"":""1 tsp"",""name"":""Garlic paste""},{""qty"":""1 tsp"",""name"":""Chilli powder""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Marinate chicken with spices and lemon."",""Brush 1 tsp oil on top."",""Grill for 12–15 minutes."",""Serve hot.""]",North India,Punjabi,non-veg,5,2,easy,10,15,/recipe-images/Low-Oil-grilled-chicken.jpg,2025-12-03 07:38:41.030277
2af3cb23-3a67-4ed4-8c8c-bf8008de16b7,Low-Oil Rajma Curry,Protein-packed rajma cooked with minimal oil.,"[{""qty"":""1 cup"",""name"":""Kidney beans""},{""qty"":""1/2 cup"",""name"":""Tomato puree""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Boil rajma."",""Heat 1 tsp oil with masala."",""Add rajma and simmer.""]",North India,Himachali,veg,5,3,medium,10,25,/recipe-images/rajma-curry.jpg,2025-12-03 08:49:36.719072
30ef0401-3809-4df4-bc14-b67c53d2877a,Low-Oil Lemon Rice,Tangy and light lemon rice cooked with minimal oil.,"[{""qty"":""2 cups"",""name"":""Cooked rice""},{""qty"":""2 tbsp"",""name"":""Lemon juice""},{""qty"":""1/2 tsp"",""name"":""Mustard seeds""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Heat 1 tsp oil and add mustard seeds."",""Mix in rice, salt and lemon."",""Serve.""]",South India,Karnataka,veg,5,2,easy,5,10,/recipe-images/lemon-rice.jpg,2025-12-03 08:49:36.719072
312f0002-a9ff-46eb-826a-bfc94898d111,Low-Oil Tomato Omelette,Protein-rich chickpea flour omelette made with minimal oil.,"[{""qty"":""1 cup"",""name"":""Besan""},{""qty"":""1 chopped"",""name"":""Tomatoes""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Mix batter."",""Spread on pan with 1 tsp oil."",""Cook both sides.""]",West India,Maharashtrian,veg,5,2,easy,5,10,/recipe-images/tomato-omlette.jpg,2025-12-03 08:49:36.719072
34a6e481-d8ac-469d-93ae-4915e867e797,Low-Oil Fish Fry,Spiced fish fillets cooked in an airfryer with minimal oil.,"[{""qty"":""200g"",""name"":""Fish fillet""},{""qty"":""2 tsp"",""name"":""Spices""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Coat fish with spices."",""Brush lightly with oil."",""Air fry 12 minutes.""]",Coastal India,Goan,non-veg,5,2,easy,10,12,/recipe-images/fish-curry.jpg,2025-12-03 08:49:36.719072
5c2f938e-ff12-4636-928c-6f366a564913,Low-Oil Upma,Healthy semolina breakfast prepared with minimal oil.,"[{""qty"":""1 cup"",""name"":""Semolina (Rava)""},{""qty"":""1 chopped"",""name"":""Onion""},{""qty"":""1/2 cup"",""name"":""Mixed vegetables""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Roast rava dry."",""Heat 1 tsp oil, sauté onions and vegetables."",""Add water and rava slowly."",""Cook until thick.""]",South India,Tamil,veg,5,2,easy,10,10,/recipe-images/Upma.jpg,2025-12-03 07:39:12.375662
5d5d4e15-b4cf-4016-ba54-bebf4aa3f17a,Low-Oil Egg Bhurji,Scrambled eggs cooked with onion and tomato using minimal oil.,"[{""qty"":""3"",""name"":""Eggs""},{""qty"":""1"",""name"":""Onion""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Heat oil, sauté onions."",""Add eggs and scramble."",""Serve hot.""]",Pan India,Indian,non-veg,5,2,easy,5,8,/recipe-images/egg-bhurji.jpg,2025-12-03 08:49:36.719072
71d8dddd-45b2-4efc-8c53-0938a3acf73d,Moong Dal Khichdi,"Light, low-oil protein-rich khichdi made with rice and moong dal.","[{""qty"":""1 cup"",""name"":""Rice""},{""qty"":""1 cup"",""name"":""Moong dal""},{""qty"":""1/2 tsp"",""name"":""Turmeric""},{""qty"":""to taste"",""name"":""Salt""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Wash rice and dal."",""Heat 1 tsp oil and sauté turmeric."",""Add rice, dal, water and cook."",""Serve hot.""]",North India,Indian,veg,5,2,easy,5,15,/recipe-images/moong-dal-khichdi.jpg,2025-12-03 08:49:36.719072
875cb327-d1a9-4efe-ab40-df3ab3c74317,Low-Oil Masala Oats,Healthy oats cooked with vegetables using only 1 tsp oil.,"[{""qty"":""1 cup"",""name"":""Oats""},{""qty"":""1 cup"",""name"":""Vegetables""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Heat oil and sauté vegetables."",""Add oats and water."",""Cook to a thick consistency.""]",Pan India,Fusion,veg,5,1,easy,5,10,/recipe-images/masala-oats.jpg,2025-12-03 08:49:36.719072
880e91aa-1e5a-46c4-b1cb-65c1d37bce5d,Steamed Idli with Low-Oil Chutney,Classic steamed idlis served with chutney made in 1 tsp oil.,"[{""qty"":""2 cups"",""name"":""Idli batter""},{""qty"":""1/2 cup"",""name"":""Coconut""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Steam idlis."",""Prepare chutney with 1 tsp oil tempering."",""Serve.""]",South India,Tamil,veg,5,3,easy,10,15,/recipe-images/idly-chutney.jpg,2025-12-03 08:49:36.719072
ae73791c-f473-4cb4-9979-5692d77d5a1c,Tandoori Paneer (Low Oil),Marinated paneer cubes air-fried with almost no oil.,"[{""qty"":""200g"",""name"":""Paneer""},{""qty"":""2 tbsp"",""name"":""Curd""},{""qty"":""1 tbsp"",""name"":""Spices""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Marinate paneer."",""Brush 1 tsp oil."",""Air fry 10 minutes.""]",North India,Punjabi,veg,5,2,easy,10,10,/recipe-images/tandoori-paneer.jpg,2025-12-03 08:49:36.719072
be7f4258-3bcd-4273-8605-3d2b96ba937d,Low-Oil Chole,Classic Punjabi chickpea curry prepared with just 1 tsp of oil.,"[{""qty"":""1 cup"",""name"":""Chickpeas""},{""qty"":""1 tbsp"",""name"":""Chole masala""},{""qty"":""1/2 cup"",""name"":""Tomato puree""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Cook chickpeas."",""Heat 1 tsp oil, add masala and tomatoes."",""Mix chickpeas and simmer.""]",North India,Punjabi,veg,5,3,medium,10,20,/recipe-images/chole.jpg,2025-12-03 08:49:36.719072
c2f44370-4ba8-4b7b-a82c-792c8aa6ebc1,Sprout Salad,A no-oil high-protein sprout salad.,"[{""qty"":""1 cup"",""name"":""Moong sprouts""},{""qty"":""1/4 cup"",""name"":""Onions""},{""qty"":""1/4 cup"",""name"":""Tomatoes""}]","[""Mix sprouts with vegetables."",""Add lemon, salt, pepper."",""Serve fresh.""]",Pan India,Indian,veg,0,1,easy,5,0,/recipe-images/sprout-salad.jpg,2025-12-03 08:49:36.719072
dc130716-7289-41b7-83eb-cfd83c8cbb4c,Low-Oil Poha,A light and healthy Indian breakfast made with flattened rice.,"[{""qty"":""2 cups"",""name"":""Poha""},{""qty"":""1 chopped"",""name"":""Onion""},{""qty"":""1 chopped"",""name"":""Green chilli""},{""qty"":""1 tsp"",""name"":""Mustard seeds""},{""qty"":""1/2 tsp"",""name"":""Turmeric""},{""qty"":""1 tsp"",""name"":""Oil""}]","[""Wash poha lightly and drain."",""Heat 1 tsp oil, add mustard seeds and onions."",""Add turmeric, poha, salt, and mix."",""Cook 3 minutes and serve.""]",West India,Maharashtrian,veg,5,2,easy,5,10,/recipe-images/poha.jpg,2025-12-03 07:38:36.238526
